replicate,risk_vax
1,4e-4
2,6.666666666666666e-4
3,5.333333333333334e-4
4,9.333333333333333e-4
5,6.666666666666666e-4
6,6.000000000000001e-4
7,6.000000000000001e-4
8,4.6666666666666666e-4
9,5.333333333333334e-4
10,6.666666666666666e-4
11,7.333333333333333e-4
12,7.333333333333333e-4
13,7.333333333333333e-4
14,6.000000000000001e-4
15,8e-4
16,6.000000000000001e-4
17,0.0011333333333333334
18,0.001
19,0.0010666666666666667
20,7.333333333333333e-4
21,4.6666666666666666e-4
22,8.666666666666667e-4
23,9.333333333333333e-4
24,6.000000000000001e-4
25,6.666666666666666e-4
26,6e-4
27,7.333333333333333e-4
28,4e-4
29,8e-4
30,0.0011333333333333334
31,4.6666666666666666e-4
32,6.666666666666666e-4
33,0.0010666666666666667
34,3.333333333333333e-4
35,4.6666666666666666e-4
36,6.000000000000001e-4
37,8.666666666666666e-4
38,9.333333333333333e-4
39,6.666666666666666e-4
40,6.000000000000001e-4
41,0.0012000000000000001
42,0.001
43,0.0012
44,4.6666666666666666e-4
45,6.666666666666666e-4
46,4.6666666666666666e-4
47,4.6666666666666666e-4
48,2e-4
49,8.666666666666666e-4
50,5.333333333333334e-4
51,0.0010666666666666667
52,8e-4
53,8e-4
54,0.0010666666666666667
55,0.0012666666666666666
56,8.666666666666667e-4
57,6.666666666666666e-4
58,8e-4
59,4e-4
60,6.666666666666666e-4
61,9.333333333333333e-4
62,0.001
63,9.333333333333333e-4
64,9.333333333333333e-4
65,0.0010666666666666667
66,6.666666666666666e-4
67,7.333333333333333e-4
68,6.000000000000001e-4
69,5.333333333333334e-4
70,4.6666666666666666e-4
71,0.0012000000000000001
72,6.000000000000001e-4
73,6e-4
74,7.333333333333333e-4
75,7.333333333333333e-4
76,9.333333333333333e-4
77,3.333333333333333e-4
78,6.666666666666666e-4
79,8e-4
80,6.666666666666666e-4
81,7.333333333333333e-4
82,6.666666666666666e-4
83,0.0010666666666666667
84,6e-4
85,2e-4
86,4.6666666666666666e-4
87,8.666666666666666e-4
88,0.0010666666666666667
89,7.333333333333333e-4
90,7.333333333333333e-4
91,8e-4
92,0.0012666666666666666
93,9.333333333333333e-4
94,5.333333333333334e-4
95,9.333333333333333e-4
96,0.0010666666666666667
97,9.333333333333333e-4
98,8.666666666666667e-4
99,8.666666666666667e-4
100,8e-4
101,6.000000000000001e-4
102,8.666666666666666e-4
103,7.333333333333333e-4
104,2e-4
105,7.333333333333333e-4
106,5.333333333333334e-4
107,7.333333333333333e-4
108,8.666666666666666e-4
109,6.666666666666666e-4
110,6e-4
111,4e-4
112,0.0010666666666666667
113,9.333333333333333e-4
114,6.666666666666666e-4
115,8.666666666666667e-4
116,0.0010666666666666667
117,0.0013333333333333333
118,8.666666666666667e-4
119,6.666666666666666e-4
120,8e-4
121,7.333333333333333e-4
122,0.001
123,6.666666666666666e-4
124,9.333333333333333e-4
125,6.666666666666666e-4
126,6.000000000000001e-4
127,0.0010666666666666667
128,8.666666666666666e-4
129,0.0010666666666666667
130,7.333333333333333e-4
131,6.666666666666666e-4
132,6.000000000000001e-4
133,8.666666666666666e-4
134,7.333333333333333e-4
135,8e-4
136,9.333333333333333e-4
137,6.000000000000001e-4
138,8e-4
139,6.666666666666666e-4
140,9.333333333333333e-4
141,6.000000000000001e-4
142,7.333333333333333e-4
143,5.333333333333334e-4
144,6.000000000000001e-4
145,6.666666666666666e-4
146,8e-4
147,4.6666666666666666e-4
148,4.6666666666666666e-4
149,8e-4
150,8e-4
151,0.001
152,8e-4
153,3.333333333333333e-4
154,6e-4
155,6.666666666666666e-4
156,9.333333333333333e-4
157,0.0010666666666666667
158,0.0012000000000000001
159,9.333333333333333e-4
160,7.333333333333333e-4
161,0.0014
162,8.666666666666666e-4
163,0.0012000000000000001
164,8e-4
165,5.333333333333334e-4
166,6.666666666666666e-4
167,9.333333333333333e-4
168,6.666666666666666e-4
169,0.0010666666666666667
170,6.000000000000001e-4
171,8.666666666666667e-4
172,6.666666666666666e-4
173,6e-4
174,3.333333333333333e-4
175,6e-4
176,8e-4
177,7.333333333333333e-4
178,4.6666666666666666e-4
179,6e-4
180,3.333333333333333e-4
181,8.666666666666667e-4
182,9.333333333333333e-4
183,6.666666666666666e-4
184,4.6666666666666666e-4
185,6.000000000000001e-4
186,8e-4
187,7.333333333333333e-4
188,9.333333333333333e-4
189,8e-4
190,7.333333333333333e-4
191,7.999999999999999e-4
192,0.0010666666666666667
193,6.666666666666666e-4
194,6.666666666666666e-4
195,7.333333333333333e-4
196,0.0011333333333333334
197,7.333333333333333e-4
198,0.001
199,6.666666666666666e-4
200,5.333333333333334e-4
201,0.0011333333333333334
202,0.0012000000000000001
203,7.333333333333333e-4
204,0.0010666666666666667
205,7.333333333333333e-4
206,5.333333333333334e-4
207,0.0011333333333333334
208,6.666666666666666e-4
209,6.666666666666666e-4
210,6.000000000000001e-4
211,0.001
212,3.333333333333333e-4
213,9.333333333333333e-4
214,6.666666666666666e-4
215,0.001
216,8e-4
217,6.666666666666666e-4
218,6.666666666666666e-4
219,5.333333333333334e-4
220,0.0011333333333333332
221,6e-4
222,0.0011333333333333334
223,6.000000000000001e-4
224,6.000000000000001e-4
225,0.0013333333333333333
226,5.333333333333334e-4
227,2.666666666666667e-4
228,6.000000000000001e-4
229,7.333333333333333e-4
230,8e-4
231,8e-4
232,7.333333333333333e-4
233,0.0012666666666666666
234,5.333333333333334e-4
235,9.333333333333333e-4
236,2e-4
237,8.666666666666666e-4
238,5.333333333333334e-4
239,7.333333333333333e-4
240,4.6666666666666666e-4
241,8e-4
242,3.333333333333333e-4
243,7.333333333333333e-4
244,8e-4
245,4e-4
