model,intercept,slope,log_lik
1,-3,0,-419.01013390380285
2,-3,0.002,-410.58006927108994
3,-3,0.004,-402.16171419080763
4,-3,0.006,-393.7560029714305
5,-3,0.008,-385.36394699807903
6,-3,0.01,-376.98664129152303
7,-3,0.012,-368.6252716412834
8,-3,0.014,-360.2811223643581
9,-3,0.016,-351.95558474582623
10,-3,0.018000000000000002,-343.65016622275584
11,-3,0.02,-335.36650037849336
12,-3,0.022,-327.1063578205999
13,-3,0.024,-318.87165802246477
14,-3,0.026000000000000002,-310.6644822160294
15,-3,0.028,-302.4870874311562
16,-3,0.03,-294.3419217860417
17,-3,0.032,-286.2316411427747
18,-3,0.034,-278.15912725276274
19,-3,0.036000000000000004,-270.12750752837576
20,-3,0.038,-262.1401765898865
21,-3,0.04,-254.20081975072677
22,-3,0.042,-246.31343861934556
23,-3,0.044,-238.48237901267308
24,-3,0.046,-230.7123613945118
25,-3,0.048,-223.0085140722399
26,-3,0.05,-215.37640940719425
27,-3,0.052000000000000005,-207.82210331819041
28,-3,0.054,-200.35217838403446
29,-3,0.056,-192.97379087981366
30,-3,0.058,-185.69472211346772
31,-3,0.06,-178.52343446390665
32,-3,0.062,-171.4691325600586
33,-3,0.064,-164.54183008202367
34,-3,0.066,-157.75242271134042
35,-3,0.068,-151.11276780763487
36,-3,0.07,-144.63577144405096
37,-3,0.07200000000000001,-138.33548349433687
38,-3,0.074,-132.22720153080408
39,-3,0.076,-126.32758436516707
40,-3,0.078,-120.65477614414273
41,-3,0.08,-115.2285419993389
42,-3,0.082,-110.0704163471579
43,-3,0.084,-105.20386504002744
44,-3,0.08600000000000001,-100.65446268617596
45,-3,0.088,-96.45008658241245
46,-3,0.09,-92.62112884407652
47,-3,0.092,-89.20072846972641
48,-3,0.094,-86.22502524659133
49,-3,0.096,-83.7334375878243
50,-3,0.098,-81.76896659579958
51,-3,0.1,-80.37852886891318
52,-2.995,0,-418.4703658112705
53,-2.995,0.002,-410.0410627577554
54,-2.995,0.004,-401.6235279510467
55,-2.995,0.006,-393.21870038285977
56,-2.995,0.008,-384.82759650790393
57,-2.995,0.01,-376.45131683576363
58,-2.995,0.012,-368.0910530997544
59,-2.995,0.014,-359.74809605453993
60,-2.995,0.016,-351.42384395904486
61,-2.995,0.018000000000000002,-343.11981180639685
62,-2.995,0.02,-334.83764136831303
63,-2.995,0.022,-326.5791121275619
64,-2.995,0.024,-318.34615317893315
65,-2.995,0.026000000000000002,-310.1408561865866
66,-2.995,0.028,-301.9654894937941
67,-2.995,0.03,-293.8225134899955
68,-2.995,0.032,-285.7145973498439
69,-2.995,0.034,-277.64463726958587
70,-2.995,0.036000000000000004,-269.615776337811
71,-2.995,0.038,-261.63142619039695
72,-2.995,0.04,-253.69529061348612
73,-2.995,0.042,-245.81139127367322
74,-2.995,0.044,-237.98409577138642
75,-2.995,0.046,-230.2181482318516
76,-2.995,0.048,-222.51870266819452
77,-2.995,0.05,-214.8913593733296
78,-2.995,0.052000000000000005,-207.3422046214917
79,-2.995,0.054,-199.87785398680052
80,-2.995,0.056,-192.50549961532144
81,-2.995,0.058,-185.23296181896256
82,-2.995,0.06,-178.06874539448472
83,-2.995,0.062,-171.02210110921047
84,-2.995,0.064,-164.10309283702034
85,-2.995,0.066,-157.322670874284
86,-2.995,0.068,-150.69275201588977
87,-2.995,0.07,-144.2263070269425
88,-2.995,0.07200000000000001,-137.93745620647562
89,-2.995,0.074,-131.84157380620093
90,-2.995,0.076,-125.95540214047404
91,-2.995,0.078,-120.29717630392581
92,-2.995,0.08,-114.88676050129854
93,-2.995,0.082,-109.74579709070595
94,-2.995,0.084,-104.89786954765053
95,-2.995,0.08600000000000001,-100.36868067361793
96,-2.995,0.088,-96.18624750094894
97,-2.995,0.09,-92.3811144860952
98,-2.995,0.092,-88.98658673753654
99,-2.995,0.094,-86.03898519393948
100,-2.995,0.096,-83.57792585407523
101,-2.995,0.098,-81.6466253642407
102,-2.995,0.1,-80.29223549325994
103,-2.99,0,-417.93064900638774
104,-2.99,0.002,-409.50211134950206
105,-2.99,0.004,-401.08540092800536
106,-2.99,0.006,-392.68146144032863
107,-2.99,0.008,-384.29131443618155
108,-2.99,0.01,-375.91606594147584
109,-2.99,0.012,-367.55691366311515
110,-2.99,0.014,-359.2151548256978
111,-2.99,0.016,-350.8921946969505
112,-2.99,0.018000000000000002,-342.58955586393563
113,-2.99,0.02,-334.3088883277852
114,-2.99,0.022,-326.05198049096225
115,-2.99,0.024,-317.82077111788425
