model,intercept,slope,log_lik
1,-2,-0.5,-295.05660578582746
2,-2,-0.49,-291.5649886996012
3,-2,-0.48,-288.0750356835972
4,-2,-0.47,-284.5868496766918
5,-2,-0.46,-281.100543037917
6,-2,-0.45,-277.6162385751458
7,-2,-0.44,-274.13407069959624
8,-2,-0.43,-270.6541867231892
9,-2,-0.42,-267.176748318327
10,-2,-0.41000000000000003,-263.70193316258724
11,-2,-0.4,-260.2299367942318
12,-2,-0.39,-256.760974708382
13,-2,-0.38,-253.29528472830827
14,-2,-0.37,-249.83312969162853
15,-2,-0.36,-246.37480049743544
16,-2,-0.35,-242.92061956762453
17,-2,-0.33999999999999997,-239.4709447841419
18,-2,-0.32999999999999996,-236.02617397371876
19,-2,-0.32,-232.58675002313385
20,-2,-0.31,-229.15316672141714
21,-2,-0.3,-225.7259754409826
22,-2,-0.29000000000000004,-222.30579278780436
23,-2,-0.28,-218.89330937182595
24,-2,-0.27,-215.4892998732601
25,-2,-0.26,-212.09463460878123
26,-2,-0.25,-208.71029283436926
27,-2,-0.24,-205.33737805928135
28,-2,-0.22999999999999998,-201.9771356888672
29,-2,-0.21999999999999997,-198.63097336323014
30,-2,-0.21000000000000002,-195.300484414491
31,-2,-0.2,-191.98747492787203
32,-2,-0.19,-188.69399496088622
33,-2,-0.18,-185.42237454994998
34,-2,-0.16999999999999998,-182.1752652132698
35,-2,-0.15999999999999998,-178.95568774015302
36,-2,-0.14999999999999997,-175.76708713540637
37,-2,-0.14,-172.61339565602856
38,-2,-0.13,-169.49910492512217
39,-2,-0.12,-166.42934811894452
40,-2,-0.10999999999999999,-163.40999317463545
41,-2,-0.09999999999999998,-160.44774782695907
42,-2,-0.08999999999999997,-157.55027700986585
43,-2,-0.08000000000000002,-154.72633269708254
44,-2,-0.07,-151.9858955347688
45,-2,-0.06,-149.34032655351803
46,-2,-0.04999999999999999,-146.80252574077352
47,-2,-0.03999999999999998,-144.3870922111981
48,-2,-0.02999999999999997,-142.1104780531262
49,-2,-0.020000000000000018,-139.99112462680674
50,-2,-0.010000000000000009,-138.0495662193487
51,-2,0,-136.30848176687562
52,-2,0.010000000000000009,-134.79267133144847
53,-2,0.020000000000000018,-133.52893098720688
54,-2,0.030000000000000027,-132.54579889735368
55,-2,0.040000000000000036,-131.8731481011609
56,-2,0.050000000000000044,-131.54160936820725
57,-2,0.06000000000000005,-131.58182149362813
58,-2,0.07000000000000006,-132.02352663273942
59,-2,0.07999999999999996,-132.89455302444333
60,-2,0.08999999999999997,-134.21975295859548
61,-2,0.09999999999999998,-136.01998452773898
62,-2,0.10999999999999999,-138.3112353946972
63,-2,0.12,-141.10398071669826
64,-2,0.13,-144.40284418686852
65,-2,0.14,-148.20659425775418
66,-2,0.15000000000000002,-152.50846454404376
67,-2,0.16000000000000003,-157.2967476273855
68,-2,0.17000000000000004,-162.55558329255413
69,-2,0.18000000000000005,-168.26585016749019
70,-2,0.19000000000000006,-174.40607370252806
71,-2,0.20000000000000007,-180.95327946306335
72,-2,0.20999999999999996,-187.88374301404036
73,-2,0.21999999999999997,-195.17361062097
74,-2,0.22999999999999998,-202.79938452888973
75,-2,0.24,-210.73828068802277
76,-2,0.25,-218.96847521413886
77,-2,0.26,-227.4692594778764
78,-2,0.27,-236.22112387133103
79,-2,0.28,-245.2057883685397
80,-2,0.29000000000000004,-254.4061950879011
81,-2,0.30000000000000004,-263.80647494526437
82,-2,0.31000000000000005,-273.3918976060415
83,-2,0.32000000000000006,-283.1488115118259
84,-2,0.33000000000000007,-293.0645788223795
85,-2,0.33999999999999997,-303.12750864039464
86,-2,0.35,-313.3267907986194
87,-2,0.36,-323.6524317033582
88,-2,0.37,-334.0951931694098
89,-2,0.38,-344.64653478769935
90,-2,0.39,-355.29856009137757
91,-2,0.4,-366.0439665949469
92,-2,0.41000000000000003,-376.87599965010196
93,-2,0.42000000000000004,-387.7884099744209
94,-2,0.43000000000000005,-398.7754146532928
95,-2,0.44000000000000006,-409.8316613829419
96,-2,0.45000000000000007,-420.9521957069943
97,-2,0.45999999999999996,-432.1324309962398
98,-2,0.47,-443.3681209271293
99,-2,0.48,-454.65533422679187
100,-2,0.49,-465.9904314682193
101,-2,0.5,-477.3700437173129
102,-1.975,-0.5,-293.6574608477153
103,-1.975,-0.49,-290.16702046664705
104,-1.975,-0.48,-286.67828433866686
105,-1.975,-0.47,-283.1913579213711
106,-1.975,-0.46,-279.70635632531815
107,-1.975,-0.45,-276.22340536809725
108,-1.975,-0.44,-272.74264275729126
109,-1.975,-0.43,-269.26421941978066
110,-1.975,-0.42,-265.78830099742356
111,-1.975,-0.41000000000000003,-262.31506953214887
112,-1.975,-0.4,-258.84472536697905
113,-1.975,-0.39,-255.377489293548
114,-1.975,-0.38,-251.9136049813797
115,-1.975,-0.37,-248.45334172966523
116,-1.975,-0.36,-244.99699758864594
117,-1.975,-0.35,-241.54490290512527
118,-1.975,-0.33999999999999997,-238.09742435527488
119,-1.975,-0.32999999999999996,-234.6549695379672
120,-1.975,-0.32,-231.21799221360018
121,-1.975,-0.31,-227.78699828704603
122,-1.975,-0.3,-224.36255264927027
123,-1.975,-0.29000000000000004,-220.94528701068432
124,-1.975,-0.28,-217.53590888081558
125,-1.975,-0.27,-214.1352118738508
126,-1.975,-0.26,-210.74408754852635
127,-1.975,-0.25,-207.363539024233
128,-1.975,-0.24,-203.99469665362554
129,-1.975,-0.22999999999999998,-200.63883607603807
130,-1.975,-0.21999999999999997,-197.29739902610638
131,-1.975,-0.21000000000000002,-193.97201732859807
132,-1.975,-0.2,-190.66454057373588
133,-1.975,-0.19,-187.37706803710674
134,-1.975,-0.18,-184.1119854838347
135,-1.975,-0.16999999999999998,-180.87200757643745
136,-1.975,-0.15999999999999998,-177.66022668672468
137,-1.975,-0.14999999999999997,-174.4801689893606
138,-1.975,-0.14,-171.33585878065827
139,-1.975,-0.13,-168.23189200933095
140,-1.975,-0.12,-165.173520009549
141,-1.975,-0.10999999999999999,-162.16674436699338
142,-1.975,-0.09999999999999998,-159.21842369280392
143,-1.975,-0.08999999999999997,-156.3363927841772
144,-1.975,-0.08000000000000002,-153.52959415615635
145,-1.975,-0.07,-150.80822116431978
146,-1.975,-0.06,-148.18387081580684
147,-1.975,-0.04999999999999999,-145.6697027897425
148,-1.975,-0.03999999999999998,-143.28059906199
149,-1.975,-0.02999999999999997,-141.03331577967998
150,-1.975,-0.020000000000000018,-138.9466156419098
151,-1.975,-0.010000000000000009,-137.04136510841792
152,-1.975,0,-135.34057655284388
153,-1.975,0.010000000000000009,-133.86937153780363
154,-1.975,0.020000000000000018,-132.65483858292632
155,-1.975,0.030000000000000027,-131.72575834115315
156,-1.975,0.040000000000000036,-131.11217246762106
157,-1.975,0.050000000000000044,-130.84478112408377
158,-1.975,0.06000000000000005,-130.95416898308795
159,-1.975,0.07000000000000006,-131.46988060811722
160,-1.975,0.07999999999999996,-132.41939122713643
161,-1.975,0.08999999999999997,-133.82704412704481
162,-1.975,0.09999999999999998,-135.71304542169605
163,-1.975,0.10999999999999999,-138.09261467285725
164,-1.975,0.12,-140.9753813498238
165,-1.975,0.13,-144.36509170235556
166,-1.975,0.14,-148.2596523196707
167,-1.975,0.15000000000000002,-152.65149343579114
168,-1.975,0.16000000000000003,-157.52819641035785
169,-1.975,0.17000000000000004,-162.8733036613384
170,-1.975,0.18000000000000005,-168.6672195762607
171,-1.975,0.19000000000000006,-174.88811685080296
172,-1.975,0.20000000000000007,-181.51277996774326
173,-1.975,0.20999999999999996,-188.51734023794774
174,-1.975,0.21999999999999997,-195.87787951063345
175,-1.975,0.22999999999999998,-203.5708985428916
176,-1.975,0.24,-211.57365934801018
177,-1.975,0.25,-219.86441855404277
178,-1.975,0.26,-228.42257187337708
179,-1.975,0.27,-237.22872959326352
180,-1.975,0.28,-246.2647408865879
181,-1.975,0.29000000000000004,-255.51368177432423
182,-1.975,0.30000000000000004,-264.95981846582623
183,-1.975,0.31000000000000005,-274.58855497293695
184,-1.975,0.32000000000000006,-284.38637152239085
185,-1.975,0.33000000000000007,-294.34075841465574
186,-1.975,0.33999999999999997,-304.4401485526991
187,-1.975,0.35,-314.67385081424305
188,-1.975,0.36,-325.031985683473
189,-1.975,0.37,-335.5054240194248
190,-1.975,0.38,-346.0857294589656
191,-1.975,0.39,-356.7651046873208
192,-1.975,0.4,-367.53634162588793
193,-1.975,0.41000000000000003,-378.39277546226555
194,-1.975,0.42000000000000004,-389.3282423648441
195,-1.975,0.43000000000000005,-400.33704067252245
196,-1.975,0.44000000000000006,-411.4138953207821
197,-1.975,0.45000000000000007,-422.55392525254524
198,-1.975,0.45999999999999996,-433.75261356132967
199,-1.975,0.47,-445.0057801217461
200,-1.975,0.48,-456.3095564754658
201,-1.975,0.49,-467.6603627574465
202,-1.975,0.5,-479.05488646546445
203,-1.95,-0.5,-292.2595434258951
204,-1.95,-0.49,-288.7703071940454
205,-1.95,-0.48,-285.28281632295483
206,-1.95,-0.47,-281.7971788486506
207,-1.95,-0.46,-278.3135126985561
208,-1.95,-0.45,-274.83194677155365
209,-1.95,-0.44,-271.35262215008913
210,-1.95,-0.43,-267.8756934621865
211,-1.95,-0.42,-264.40133041388737
212,-1.95,-0.41000000000000003,-260.92971951570405
213,-1.95,-0.4,-257.4610660302378
214,-1.95,-0.39,-253.9955961722536
215,-1.95,-0.38,-250.53355959731516
216,-1.95,-0.37,-247.0752322206817
217,-1.95,-0.36,-243.62091941468412
218,-1.95,-0.35,-240.17095964038256
219,-1.95,-0.33999999999999997,-236.72572857814654
220,-1.95,-0.32999999999999996,-233.28564383209246
221,-1.95,-0.32,-229.85117029530636
222,-1.95,-0.31,-226.42282627674908
223,-1.95,-0.3,-223.00119050699982
224,-1.95,-0.29000000000000004,-219.5869101589084
225,-1.95,-0.28,-216.18071004119818
226,-1.95,-0.27,-212.78340314854896
227,-1.95,-0.26,-209.39590278118186
228,-1.95,-0.25,-206.01923648101175
229,-1.95,-0.24,-202.65456207056465
230,-1.95,-0.22999999999999998,-199.30318612564238
231,-1.95,-0.21999999999999997,-195.96658526363413
232,-1.95,-0.21000000000000002,-192.64643068681247
233,-1.95,-0.2,-189.34461648404508
234,-1.95,-0.19,-186.06329226487426
235,-1.95,-0.18,-182.80490077600706
236,-1.95,-0.16999999999999998,-179.57222123013116
237,-1.95,-0.15999999999999998,-176.3684191574368
238,-1.95,-0.14999999999999997,-173.1971036660619
239,-1.95,-0.14,-170.06239306077907
240,-1.95,-0.13,-166.96898980747855
241,-1.95,-0.12,-163.92226582676415
242,-1.95,-0.10999999999999999,-160.92835902836904
243,-1.95,-0.09999999999999998,-157.99428182482697
244,-1.95,-0.08999999999999997,-155.1280420419223
245,-1.95,-0.08000000000000002,-152.33877611518992
246,-1.95,-0.07,-149.63689365152996
247,-1.95,-0.06,-147.0342312543531
248,-1.95,-0.04999999999999999,-144.54421186228706
249,-1.95,-0.03999999999999998,-142.18200364135345
250,-1.95,-0.02999999999999997,-139.96466963073053
251,-1.95,-0.020000000000000018,-137.91129586845474
252,-1.95,-0.010000000000000009,-136.04308173053923
253,-1.95,0,-134.38337201165874
254,-1.95,0.010000000000000009,-132.95760643697557
255,-1.95,0.020000000000000018,-131.79315973985766
256,-1.95,0.030000000000000027,-130.91904543093042
257,-1.95,0.040000000000000036,-130.36546041410696
258,-1.95,0.050000000000000044,-130.1631571049043
259,-1.95,0.06000000000000005,-130.34264553046728
260,-1.95,0.07000000000000006,-130.93324965288812
261,-1.95,0.07999999999999996,-131.96206760941968
262,-1.95,0.08999999999999997,-133.45291036333188
263,-1.95,0.09999999999999998,-135.4253115011567
264,-1.95,0.10999999999999999,-137.89370658330847
265,-1.95,0.12,-140.86686954060139
266,-1.95,0.13,-144.34766604295092
267,-1.95,0.14,-148.3331442143472
268,-1.95,0.15000000000000002,-152.81493989737058
269,-1.95,0.16000000000000003,-157.7799363382212
270,-1.95,0.17000000000000004,-163.21109412918503
271,-1.95,0.18000000000000005,-169.08835978903045
272,-1.95,0.19000000000000006,-175.38956916001334
